_id,ID,AD,KATEGORI ADI,IL ADI,ILCE ADI,MAHALLE ADI,DURUM,BOYLAM,ENLEM,ELEKTRIK,KULLANIM ALANI,OTOMATIK HESAPLANAN ALAN,SU,TABELA KOD,TOPLAM ALAN,TOPLAM CADIR / KONTEYNER SAYISI,TUR,VERI URETIM,WC / KANALIZASYON,YOL DURUMU
23,151349511,Anadolu Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Yayla Mh.,Aktif,29.301284035127683,40.83271749977685,Var,3579,3645.98153568712,Var,3430-023-76,3579,0/0,PARK,Koordinat,Yok,VAR
24,151349512,Hüseyin Çakır Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Yayla Mh.,Aktif,29.309233239738088,40.83013593002469,Var,997,1362.06069293296,Var,3430-023-75,997,0/0,PARK,Koordinat,Yok,Var
25,151349513,İBB-Torosevleri Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Yayla Mh.,Aktif,29.313780060781276,40.83415623768957,Var,18718,21276.9075385917,Var,3430-023-84,18718,0/0,PARK,Koordinat,Var,VAR
26,151349514,Mavi Evler Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Yayla Mh.,Aktif,29.29954708517463,40.83035721297466,Var,992,1160.67360188541,Var,3430-023-80,992,0/0,PARK,Koordinat,Yok,VAR
27,151349515,Mehmet Akif Ersoy Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Yayla Mh.,Aktif,29.304390926978023,40.83547552607723,Var,4763,5003.62164895621,Var,3430-023-77,4763,0/0,PARK,Koordinat,Yok,VAR
28,151349516,Şehit J.Er Necmi Yıldırım Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Yayla Mh.,Aktif,29.30240423444415,40.83341718048395,Var,2065,2065.59392802385,Var,3430-023-82,2065,0/0,PARK,Koordinat,Yok,VAR
29,151349517,Yaşam Sitesi Parkı (7969) Parsel,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Yayla Mh.,Aktif,29.30561015926596,40.83467515651003,Var,4753,5074.14020952169,Var,3430-023-83,4753,0/0,PARK,Koordinat,Var,VAR
30,151349518,Yavuz Selim Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Yayla Mh.,Aktif,29.307722747564647,40.83679329040704,Var,2544,2795.86266662424,Var,3430-023-79,2544,0/0,PARK,Koordinat,Yok,VAR
31,151349519,Yayla Çocuk Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Yayla Mh.,Aktif,29.312377527503077,40.8302148786493,Var,1003,954.078657199698,Var,3430-023-78,1003,0/0,PARK,Koordinat,Yok,VAR
32,151349520,Zeytinlik Parkı ve Çevresi,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Yayla Mh.,Aktif,29.303193745547432,40.82614469681107,Var,1112,2481.01959798033,Var,3430-023-81,1112,0/0,PARK,Koordinat,Yok,VAR
