_id,ID,AD,KATEGORI ADI,IL ADI,ILCE ADI,MAHALLE ADI,DURUM,BOYLAM,ENLEM,ELEKTRIK,KULLANIM ALANI,OTOMATIK HESAPLANAN ALAN,SU,TABELA KOD,TOPLAM ALAN,TOPLAM CADIR / KONTEYNER SAYISI,TUR,VERI URETIM,WC / KANALIZASYON,YOL DURUMU
94,151349584,Derya Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.30083235867112,40.82158442094595,Var,317,400.042860646124,Var,3430-019-55,317,0/0,PARK,Koordinat,Yok,VAR
95,151349585,Doğan Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.299382830670258,40.81902979212913,Var,760,568.323614270492,Var,3430-019-61,760,0/0,PARK,Koordinat,Yok,VAR
96,151349586,Ertuğrul Gazi Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.29176542022104,40.81755438090276,Var,3379,3052.93209119649,Var,3430-019-62,3379,0/0,PARK,Koordinat,Yok,VAR
97,151349588,Gonca Sokak Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.290981607204824,40.820904414967714,Var,746,746.490967036665,Var,3430-019-64,746,0/0,PARK,Koordinat,Yok,VAR
98,151349589,Gölboyu Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.289372932080703,40.82234644882758,Var,1044,1065.91634547434,Var,3430-019-69,1044,0/0,PARK,Koordinat,Yok,VAR
99,151349590,Kardelen Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.28844200245204,40.818595599694845,Var,2797,2106.09517426769,Var,3430-019-56,2797,0/0,PARK,Koordinat,Yok,VAR
100,151349593,Org. Eşref Bitlis Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.309046562873355,40.8228313107154,Var,3466,3659.64930063836,Var,3430-019-68,3466,0/0,PARK,Koordinat,Yok,VAR
101,151349594,Orhan Gazi Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.28474994014656,40.82428674688379,Var,3607,3958.03972960476,Var,3430-019-70,3607,0/0,PARK,Koordinat,Var,VAR
102,151349595,Osman Gazi Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.301086173883142,40.81934959410994,Var,1423,1310.76316079009,Var,3430-019-71,1423,0/0,PARK,Koordinat,Yok,VAR
103,151349596,Sumru Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.28341327644939,40.81571930560644,Var,10905,1738.72798552488,Var,3430-019-60,10905,0/0,PARK,Koordinat,Yok,VAR
104,151349597,Sümer Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.303286117411197,40.82112465744276,Var,394,409.629192651251,Var,3430-019-67,394,0/0,PARK,Koordinat,Yok,VAR
105,151349598,Şehit Murat Matuz Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.289509781968192,40.819858666388456,Var,1304,1027.88819575723,Var,3430-019-65,1304,0/0,PARK,Koordinat,Yok,VAR
106,151349599,Yayla Yolu Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.30417599466246,40.82203716802631,Var,1185,1324.13407221507,Var,3430-019-54,1185,0/0,PARK,Koordinat,Yok,VAR
107,151349600,Yıldırım Beyazıd Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.30881445039764,40.82498232104648,Var,1852,1898.16604861526,Var,3430-019-63,1852,0/0,PARK,Koordinat,Yok,VAR
108,151349601,Zabıta Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.30494034409718,40.82044544727204,Var,4988,2792.16130485306,Var,3430-019-58,4988,0/0,PARK,Koordinat,Yok,VAR
109,151349602,Behiye Dr. Nevhir Anadolu Lisesi Bahçesi,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.302306870990133,40.82161049912828,Var,2800,2865.93883898197,Var,3430-019-72,2800,0/0,OKUL ,Koordinat,Var,VAR
110,151349603,Esentepe Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.28652969356009,40.81580999524736,Var,3994,4494.30325855255,Var,3430-019-59,3994,0/0,PARK,Koordinat,Yok,VAR
111,151349604,Ceren Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mescit Mh.,Aktif,29.353238141216547,40.89663084024372,Var,7326,3741.09184796004,Var,3430-015-41,7326,0/0,PARK,Koordinat,Yok,VAR
112,151440838,Okul Dinlenme Alanı.,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Cami Mh.,Aktif,29.30786678516561,40.8203325402069,Var,466,466.32,Var,3430-009-18,466,0/0,PARK,Koordinat,Yok,Var
113,151440853,Tepeören Mahallesi Kültür Merkezi ( Aynı Zamanda TRANSFER ALANIDIR.),Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Tepeören Mh.,Aktif,29.393075038097894,40.90791272117772,Var,2092,2092.42,Var,3430-022-75,2092,0/0,Kültür Merkezi,Koordinat,Var,Var
114,151440854,Cemil Türker Ortaokulu Bahçesi,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Tepeören Mh.,Aktif,29.392958649016247,40.906620465576864,Var,3685,3685.38,Var,3430-022-78,3685,0/0,Okul,Koordinat,Var,Var
115,151440855,Krizantem Parkı..,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.28473876722344,40.81969062341117,Var,1777,407.93,Yok,3430-019-66,1777,0/0,Park,Koordinat,Yok,Var
116,151440856,Şehit İbrahim Doğan Parkı 2,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mimar Sinan Mh.,Aktif,29.36536816687541,40.829056917503046,Var,13866,13866.14,Var,3430-020-77,13866,0/0,Park,Koordinat,Var,Var
