_id,Saglik Tesisi Adi,Ana Kategori,Alt Kategori,Ilce Adi,Mahalle Adi,ADRES,Latitude,Longitude
3347,Herada Sağlık Teknoloji,Sağlık,Sağlık Diğer,ATAŞEHİR,ATATÜRK,Mustafa Kemal Cad. No:3 ATATÜRK/ATAŞEHİR,40.9848070000000035406628740020096302032470703125,29.13591600000000170211933436803519725799560546875
3348,Op. Dr. Salih Cengiz Türkmen,Sağlık,Doktor/Muayenehane,BAKIRKÖY,ZUHURATBABA,Haksever Sk. No:5 ZUHURATBABA/BAKIRKÖY,40.99382700000000312456904794089496135711669921875,28.868984999999998564135239575989544391632080078125
3349,Biruni Laboratuvarı,Sağlık,Laboratuvar Özel,ŞİŞLİ,MEŞRUTİYET,Vali Konağı Cad. No:161 MEŞRUTİYET/ŞİŞLİ,41.0551540000000017016645870171487331390380859375,28.995256999999998726025296491570770740509033203125
3350,Netsun İşitme Cihazları,Sağlık,İşitme Cihazı Satış ve Uygulama Merkezi,BAKIRKÖY,ZUHURATBABA,İncirli Cad. No:29 ZUHURATBABA/BAKIRKÖY,40.98536200000000206955519388429820537567138671875,28.872094000000000590944182476960122585296630859375
3351,Bahçelievler Şirinevler Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAHÇELİEVLER,ŞİRİNEVLER,Gaziler Sk. No:5 /1 ŞİRİNEVLER/BAHÇELİEVLER,41.0030909999999977344486978836357593536376953125,28.84294799999999980855136527679860591888427734375
3352,Surp Pirgiç Huzurevi,Sağlık,Yaşlı Bakım Evi/Huzurevi,ZEYTİNBURNU,KAZLIÇEŞME,Zakirbaşı Sk. No:32 KAZLIÇEŞME/ZEYTİNBURNU,40.9937579999999996971382643096148967742919921875,28.91601800000000110912878881208598613739013671875
3353,Samatya Optik,Sağlık,Gözlükçü/Optik,FATİH,KOCA MUSTAFAPAŞA,Org. Abdurrahman Nâfiz Gürman Cad. No:87 KOCA MUSTAFAPAŞA/FATİH,41.00213000000000107547748484648764133453369140625,28.9366160000000007812559488229453563690185546875
3354,Papsi Veteriner Polikliniği,Sağlık,Veteriner,BEYOĞLU,CİHANGİR,Güneşli Sk. No:29 CİHANGİR/BEYOĞLU,41.03172299999999950159690342843532562255859375,28.98547800000000052023096941411495208740234375
3355,Uzm. Dkt. Yasemin Tekin,Sağlık,Doktor/Muayenehane,PENDİK,DOĞU,Yosun Sk. No:15 DOĞU/PENDİK,40.88125699999999795863914187066256999969482421875,29.242416999999999660531102563254535198211669921875
3356,Uzm. Kl. Psk. Tuğba Kara Aydınlıoğlu,Sağlık,Psikologlar,KADIKÖY,CADDEBOSTAN,Nihat Kızıltan Sk. No:9 CADDEBOSTAN/KADIKÖY,40.96327000000000140289557748474180698394775390625,29.072511999999999687815943616442382335662841796875
3357,Psk. Ayşegül Köksal,Sağlık,Psikologlar,PENDİK,KAYNARCA,Sahil Bulvarı No:24 /11 KAYNARCA/PENDİK,40.8669129999999967139956424944102764129638671875,29.264037999999999328792910091578960418701171875
3358,Ataşehir 3 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ATAŞEHİR,YENİŞEHİR,Baraj Yolu Cad. No:2 /2 YENİŞEHİR/ATAŞEHİR,40.9940610000000020818333723582327365875244140625,29.1449089999999984001988195814192295074462890625
3359,Esteworld Polikliniği,Sağlık,Poliklinik Özel,ÜSKÜDAR,ALTUNİZADE,Kısıklı Cad. No:33 /1 ALTUNİZADE/ÜSKÜDAR,41.0234880000000003974491846747696399688720703125,29.043333000000000509999154019169509410858154296875
3360,Ataşehir Ferhatpaşa Ahmet Emekligil Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ATAŞEHİR,FERHATPAŞA,Heybe Sk. No:4 FERHATPAŞA/ATAŞEHİR,40.97757200000000210593498195521533489227294921875,29.180959000000001424268702976405620574951171875
3361,Diş Hekimi Oya Korkmaz,Sağlık,Diş Hekimi,MALTEPE,İDEALTEPE,Bağdat Cad. No:194 İDEALTEPE/MALTEPE,40.93956299999999970395947457291185855865478515625,29.11703299999999927649696473963558673858642578125
3362,Atakent Veteriner Polikliniği,Sağlık,Veteriner,KÜÇÜKÇEKMECE,ATATÜRK,Esentepe Sk. No:13 ATATÜRK/KÜÇÜKÇEKMECE,41.05500099999999719102561357431113719940185546875,28.792899999999999494093572138808667659759521484375
3363,Op. Dr. Mustafa Karaca,Sağlık,Doktor/Muayenehane,ÜSKÜDAR,ALTUNİZADE,Nuhkuyusu Cad. No:94 ALTUNİZADE/ÜSKÜDAR,41.01979200000000247428033617325127124786376953125,29.03469799999999878536982578225433826446533203125
3364,Uzm. Psk. Nazmiye Arduç,Sağlık,Psikologlar,KADIKÖY,KOŞUYOLU,Asma Dalı Sk. No:19 KOŞUYOLU/KADIKÖY,41.0069050000000032696334528736770153045654296875,29.03718599999999838701114640571177005767822265625
3365,Özel Akl Polikliniği,Sağlık,Poliklinik Özel,ATAŞEHİR,BARBAROS,Halk Cad. No:49 BARBAROS/ATAŞEHİR,40.98657800000000150930645759217441082000732421875,29.099092999999999875626599532552063465118408203125
3366,Şafak Güneş Gözlüğü & Saat,Sağlık,Gözlükçü/Optik,BEYLİKDÜZÜ,ADNAN KAHVECİ,Kalkan Sk. No:3 /2 ADNAN KAHVECİ/BEYLİKDÜZÜ,40.998772000000002435626811347901821136474609375,28.6331330000000008340066415257751941680908203125
3367,Gül Biyoloji Laboratuarı,Sağlık,Laboratuvar Özel,ÜMRANİYE,ŞERİFALİ,Hattat Sk. No:10 ŞERİFALİ/ÜMRANİYE,41.00272700000000014597389963455498218536376953125,29.150549000000001598209564690478146076202392578125
3368,Özel Yakamoz Ağız ve Diş Sağlığı Merkezi,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BEYKOZ,KAVACIK,Özgür Cad. No:2 KAVACIK/BEYKOZ,41.0947460000000006630216375924646854400634765625,29.0876650000000012141754268668591976165771484375
3369,Prof. Dr. Çetin Karaca,Sağlık,Doktor/Muayenehane,ŞİŞLİ,TEŞVİKİYE,Güzel Bahçe Sk. No:29 TEŞVİKİYE/ŞİŞLİ,41.05360499999999746023604529909789562225341796875,28.9949629999999984875103109516203403472900390625
3370,Kurtköy Veteriner Kliniği,Sağlık,Veteriner,PENDİK,YENİŞEHİR,Şefika Sk. No:10 /3 YENİŞEHİR/PENDİK,40.92960099999999812325768289156258106231689453125,29.310199999999998254907040973193943500518798828125
3371,Diş Hekimi Serkan Çağlıyan,Sağlık,Diş Hekimi,ESENYURT,NAMIK KEMAL,Fevzi Çakmak Cad. No:10 NAMIK KEMAL/ESENYURT,41.01194600000000178852133103646337985992431640625,28.69645799999999979945641825906932353973388671875
3372,Beylikdüzü 10 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BEYLİKDÜZÜ,ADNAN KAHVECİ,Büyükdere Cad. No:14 /2 ADNAN KAHVECİ/BEYLİKDÜZÜ,40.9945220000000034588083508424460887908935546875,28.63111599999999867804945097304880619049072265625
3373,Doç. Dr. Ebru Öztürk,Sağlık,Doktor/Muayenehane,ÜSKÜDAR,ALTUNİZADE,Mahir İz Cad. No:31 ALTUNİZADE/ÜSKÜDAR,41.02205000000000012505552149377763271331787109375,29.041785000000000849240677780471742153167724609375
3374,Oral Implantoloji ve Ağız Sağlık Merkezi,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ÜSKÜDAR,ACIBADEM,Acıbadem Cad. No:146 A ACIBADEM/ÜSKÜDAR,41.00630000000000308091330225579440593719482421875,29.047200000000000130739863379858434200286865234375
3375,Diş Hekimi Yusuf Yusufoğlu,Sağlık,Diş Hekimi,FATİH,İSKENDERPAŞA,Ragıpbey Sk. No:32 /1 İSKENDERPAŞA/FATİH,41.0130070000000017671482055447995662689208984375,28.948745999999999867213773541152477264404296875
3376,Rayban,Sağlık,Gözlükçü/Optik,BEYOĞLU,ASMALI MESCİT,İstiklal Cad. No:118 ASMALI MESCİT/BEYOĞLU,41.033141999999998006387613713741302490234375,28.97663899999999870260580792091786861419677734375
