_id,Saglik Tesisi Adi,Ana Kategori,Alt Kategori,Ilce Adi,Mahalle Adi,ADRES,Latitude,Longitude
1,Ada Medikal Diğer Tıbbi Malz Satışı,Sağlık,Medikal,BEYKOZ,YALIKÖY,Çayır Cad. No:25 F YALIKÖY/BEYKOZ,41.1395049999999997680788510479032993316650390625,29.086856999999998407702150871045887470245361328125
2,Uzman Dental Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAĞCILAR,YAVUZ SELİM,Birlik Cad. No:15 YAVUZ SELİM/BAĞCILAR,41.03557500000000146656020660884678363800048828125,28.85385000000000133013600134290754795074462890625
3,Özel Moda Polikliniği,Sağlık,Poliklinik Özel,KADIKÖY,CAFERAĞA,Mühürdar Karakolu Sk. No:1 -3A CAFERAĞA/KADIKÖY,40.98457700000000158979673869907855987548828125,29.02437400000000167210600920952856540679931640625
4,Op. Dr. Ayça Çarak,Sağlık,Doktor/Muayenehane,ŞİŞLİ,TEŞVİKİYE,Şakayık Sk. No:4 TEŞVİKİYE/ŞİŞLİ,41.0493129999999979418134898878633975982666015625,28.9960880000000003064997144974768161773681640625
5,Özeller Saat Optik,Sağlık,Gözlükçü/Optik,ESENYURT,SULTANİYE,Doğan Araslı Bulvarı No:168 SULTANİYE/ESENYURT,41.034131999999999607098288834095001220703125,28.680530999999998442717696889303624629974365234375
6,İntermed Nişantaşı Polikliniği,Sağlık,Poliklinik Özel,ŞİŞLİ,HARBİYE,Teşvikiye Cad. No:63 HARBİYE/ŞİŞLİ,41.051366999999999052306520752608776092529296875,28.991552999999999684632712160237133502960205078125
7,Psk. Emine Sinem Derli,Sağlık,Psikologlar,ŞİŞLİ,HALASKARGAZİ,Rumeli Cad. No:71 HALASKARGAZİ/ŞİŞLİ,41.0533530000000013160388334654271602630615234375,28.987579000000000206682670977897942066192626953125
8,Uzm. Dr. Tuğba Türe,Sağlık,Doktor/Muayenehane,ŞİŞLİ,HARBİYE,Teşvikiye Cad. No:7 HARBİYE/ŞİŞLİ,41.04858500000000276486389338970184326171875,28.994015999999998456360117415897548198699951171875
9,Bbc Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ŞİŞLİ,HARBİYE,Teşvikiye Cad. No:19 HARBİYE/ŞİŞLİ,41.04948300000000216414264286868274211883544921875,28.9933869999999984656824381090700626373291015625
10,Prof. Dr. Gediz Murat Serin,Sağlık,Doktor/Muayenehane,ŞİŞLİ,HARBİYE,Teşvikiye Cad. No:17 HARBİYE/ŞİŞLİ,41.04925399999999768851921544410288333892822265625,28.993491999999999819692675373516976833343505859375
11,Op. Dr. Hakkı H. İzmirli,Sağlık,Doktor/Muayenehane,ŞİŞLİ,MEŞRUTİYET,Rumeli Cad. No:42 MEŞRUTİYET/ŞİŞLİ,41.0531730000000010250005288980901241302490234375,28.98926399999999858891897019930183887481689453125
12,Uzm. Dr. Şuayip Sancaktar,Sağlık,Doktor/Muayenehane,SULTANBEYLİ,TURGUT REİS,Doğa Sk. No:1 TURGUT REİS/SULTANBEYLİ,40.96462199999999853616827749647200107574462890625,29.277421000000000361751517630182206630706787109375
13,Diş Hekimi Emre Özbir,Sağlık,Diş Hekimi,BEŞİKTAŞ,NİSBETİYE,Nisbetiye Cad. No:42 NİSBETİYE/BEŞİKTAŞ,41.07602299999999928559191175736486911773681640625,29.01998999999999995225152815692126750946044921875
14,Kartal Esentepe Mah Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,KARTAL,ESENTEPE,Hakan Sk. No:6 ESENTEPE/KARTAL,40.90366999999999819692675373516976833343505859375,29.18592699999999950932760839350521564483642578125
15,Dr. Dt. Onur Utku Yüksel,Sağlık,Diş Hekimi,ŞİŞLİ,HALASKARGAZİ,Rumeli Cad. No:71 HALASKARGAZİ/ŞİŞLİ,41.0534099999999995134203345514833927154541015625,28.987674999999999414512785733677446842193603515625
16,Ada Optik,Sağlık,Gözlükçü/Optik,GAZİOSMANPAŞA,KARADENİZ,1113/2. Sk. No:3 KARADENİZ/GAZİOSMANPAŞA,41.0757770000000022037056623958051204681396484375,28.88278199999999884539647609926760196685791015625
17,Erg. Rumeysa Sultan Sağlam,Sağlık,Doktor/Muayenehane,GAZİOSMANPAŞA,MERKEZ,Morlale Sk. No:1 MERKEZ/GAZİOSMANPAŞA,41.0589370000000002391971065662801265716552734375,28.908469000000000193040250451304018497467041015625
18,Özel İstanbul Dental Center Ağız ve Diş Sağlığı Merkezi,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ŞİŞLİ,HALASKARGAZİ,Rumeli Cad. No:71 HALASKARGAZİ/ŞİŞLİ,41.05350399999999666533767594955861568450927734375,28.987736000000001723719833535142242908477783203125
19,Semavi Optik,Sağlık,Gözlükçü/Optik,ESENYURT,SAADETDERE,Doğan Araslı Bulvarı No:17 B SAADETDERE/ESENYURT,41.01109600000000199315763893537223339080810546875,28.69921000000000077534423326142132282257080078125
20,Özel Fizyomed Polikliniği,Sağlık,Poliklinik Özel,BEYLİKDÜZÜ,BARIŞ,Çiftlik Cad. No:70 BARIŞ/BEYLİKDÜZÜ,40.99561299999999874899003771133720874786376953125,28.646167999999999409510564873926341533660888671875
21,Berra Optik,Sağlık,Gözlükçü/Optik,ÜSKÜDAR,MEHMET AKİF ERSOY,Bosna Bulvarı No:79 C MEHMET AKİF ERSOY/ÜSKÜDAR,41.0393600000000020600054995156824588775634765625,29.078238999999999947476680972613394260406494140625
22,City Optik,Sağlık,Gözlükçü/Optik,BEYLİKDÜZÜ,BÜYÜKŞEHİR,Lokman Hekim Sk. No:2 A BÜYÜKŞEHİR/BEYLİKDÜZÜ,41.01259999999999905639924691058695316314697265625,28.645900999999998504108589258976280689239501953125
23,Diş Hekimi Sezer Yıldız,Sağlık,Diş Hekimi,GAZİOSMANPAŞA,KARADENİZ,Köroğlu Cad. No:6 A KARADENİZ/GAZİOSMANPAŞA,41.0793359999999978526830091141164302825927734375,28.88395200000000073714545578695833683013916015625
24,Bayrampaşa Belediyesi Veteriner İşleri Müdürlüğü,Sağlık,Veteriner,BAYRAMPAŞA,İSMET PAŞA,Tuna Cad. No:7 İSMET PAŞA/BAYRAMPAŞA,41.0434539999999969950295053422451019287109375,28.90921300000000115915099740959703922271728515625
25,Diş Hekimi Mehmet Keser,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,Zürüh Sk. No:3 B İSMET PAŞA/BAYRAMPAŞA,41.0416009999999999990905052982270717620849609375,28.903794000000001318539943895302712917327880859375
26,Özge Medikal,Sağlık,Medikal,BAYRAMPAŞA,TERAZİDERE,Akpınar Cad. No:16 A TERAZİDERE/BAYRAMPAŞA,41.0344630000000023528627934865653514862060546875,28.8976439999999996643964550457894802093505859375
27,Diş Hekimi Ayfer Kargacı Güven,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,Sinop Sk. No:32 İSMET PAŞA/BAYRAMPAŞA,41.04460100000000011277734301984310150146484375,28.908235999999998711018633912317454814910888671875
28,Hüsmen Ayan,Sağlık,Diş Hekimi,GAZİOSMANPAŞA,BAĞLARBAŞI,Bağlarbaşı Cad. No:23 BAĞLARBAŞI/GAZİOSMANPAŞA,41.0597259999999977253537508659064769744873046875,28.913478999999998819703250774182379245758056640625
29,Bayrampaşa 1 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:34 A YENİDOĞAN/BAYRAMPAŞA,41.03600899999999995770849636755883693695068359375,28.914908000000000498630470247007906436920166015625
30,Özel Enka Diş,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:42 A YENİDOĞAN/BAYRAMPAŞA,41.03776500000000027057467377744615077972412109375,28.912364000000000174850356415845453739166259765625
31,Lens Medikal,Sağlık,Medikal,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:47 A YENİDOĞAN/BAYRAMPAŞA,41.03687000000000040245140553452074527740478515625,28.912054999999998727844285895116627216339111328125
32,Forma Medikal Market,Sağlık,Medikal,BAYRAMPAŞA,ALTINTEPSİ,Akpınar Cad. No:59 A ALTINTEPSİ/BAYRAMPAŞA,41.03687099999999787769411341287195682525634765625,28.897811999999998278099155868403613567352294921875
33,Terazidere Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,TERAZİDERE,Egemen Sk. No:28 TERAZİDERE/BAYRAMPAŞA,41.0339919999999978017513058148324489593505859375,28.90272999999999825604390935041010379791259765625
34,Ef-Su Veteriner,Sağlık,Veteriner,BAYRAMPAŞA,MURATPAŞA,Kamil Cad. No:45 -47A MURATPAŞA/BAYRAMPAŞA,41.04697900000000032605385058559477329254150390625,28.906126000000000431100488640367984771728515625
35,Diş Hekimi Filiz Balaban,Sağlık,Diş Hekimi,BAYRAMPAŞA,ORTA,Demirkapı Cad. No:93 ORTA/BAYRAMPAŞA,41.03847400000000078534867498092353343963623046875,28.907824999999998993871486163698136806488037109375
36,Diş Hekimi Zehra Kıvılcım,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,Oğuz Sk. No:81 İSMET PAŞA/BAYRAMPAŞA,41.045017999999998892235453240573406219482421875,28.906203999999998899284037179313600063323974609375
37,İlker Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:87 C YENİDOĞAN/BAYRAMPAŞA,41.0390560000000022000676835887134075164794921875,28.912227999999998928615241311490535736083984375
38,Diş Hekimi Banu Aksoy,Sağlık,Diş Hekimi,BAYRAMPAŞA,YENİDOĞAN,Demirkapı Cad. No:68 YENİDOĞAN/BAYRAMPAŞA,41.038286999999996851329342462122440338134765625,28.90809300000000092722984845750033855438232421875
39,Diyetisyen Rabia Üçeler,Sağlık,Diyetisyen,BAYRAMPAŞA,YENİDOĞAN,Numunebağı Cad. No:82 YENİDOĞAN/BAYRAMPAŞA,41.03569499999999692363417125307023525238037109375,28.91275600000000167710823006927967071533203125
40,Dr. Fedai Barcan,Sağlık,Doktor/Muayenehane,BAYRAMPAŞA,ORTA,Abdi İpekçi Cad. No:19 ORTA/BAYRAMPAŞA,41.03428799999999654346538591198623180389404296875,28.911854999999999193960320553742349147796630859375
41,Gülümse Psikolojik Danışmanlık Merkezi,Sağlık,Psikologlar,BAYRAMPAŞA,MURATPAŞA,Ada Sk. No:11 MURATPAŞA/BAYRAMPAŞA,41.0455529999999981782821123488247394561767578125,28.908834999999999837427822058089077472686767578125
42,Özel Göz Nurunu Koruma Vakfı Bayrampaşa Göz Hastanesi,Sağlık,Göz Merkezi Özel,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:89 YENİDOĞAN/BAYRAMPAŞA,41.03937899999999672218109481036663055419921875,28.912238999999999577994458377361297607421875
43,Özel Bayrampaşa İlkdent Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,TERAZİDERE,Esenler Cad. No:105 A TERAZİDERE/BAYRAMPAŞA,41.03389299999999906276570982299745082855224609375,28.901540000000000674162947689183056354522705078125
44,Özel Avrupa Akademi Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,TERAZİDERE,Esenler Cad. No:148 A TERAZİDERE/BAYRAMPAŞA,41.033378999999996494807419367134571075439453125,28.899325999999998515477273031137883663177490234375
45,Bayrampaşa Altıntepsi Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,ALTINTEPSİ,Filiz Sk. No:170 ALTINTEPSİ/BAYRAMPAŞA,41.03566500000000161207935889251530170440673828125,28.900175000000000835598257253877818584442138671875
46,Bayrampaşa İsmetpaşa Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,İSMET PAŞA,Eti Sk. No:4 A İSMET PAŞA/BAYRAMPAŞA,41.041415999999998120983946137130260467529296875,28.906445999999998974772097426466643810272216796875
47,Uzman Veteriner,Sağlık,Veteriner,KADIKÖY,2024-05-19 00:00:00,İnönü Cad. No:66 A 19 MAYIS/KADIKÖY,40.97866400000000197678673430345952510833740234375,29.09111800000000158661350724287331104278564453125
48,Stil Gözlük,Sağlık,Gözlükçü/Optik,FATİH,HOBYAR,Hamidiye Cad. No:8 HOBYAR/FATİH,41.01516099999999909186954027973115444183349609375,28.9751609999999999445208231918513774871826171875
49,Diş Hekimi İsmail Alioğlu,Sağlık,Diş Hekimi,BAYRAMPAŞA,MURATPAŞA,Tuna Cad. No:66 MURATPAŞA/BAYRAMPAŞA,41.04559400000000124464349937625229358673095703125,28.90522299999999944475348456762731075286865234375
50,Özel Bayrampaşa Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,ORTA,Lale Sk. No:36 C ORTA/BAYRAMPAŞA,41.03571099999999916008164291270077228546142578125,28.91022699999999900910552241839468479156494140625
51,Eyüp Nişanca Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,EYÜPSULTAN,NİŞANCI,Nişancı Mustafapaşa Cad. No:2 NİŞANCI/EYÜPSULTAN,41.04038200000000102818376035429537296295166015625,28.9305379999999985329850460402667522430419921875
52,Bayrampaşa 10 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,ALTINTEPSİ,Yahya Kemal Cad. No:67 C ALTINTEPSİ/BAYRAMPAŞA,41.041482000000002017259248532354831695556640625,28.900676000000000698264557286165654659271240234375
53,Bayrampaşa 3 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,ALTINTEPSİ,Akpınar Cad. No:95 D ALTINTEPSİ/BAYRAMPAŞA,41.0405760000000014997567632235586643218994140625,28.8983530000000001791704562492668628692626953125
54,Bayrampaşa 9 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,MURATPAŞA,Tuna Cad. No:86 -88A MURATPAŞA/BAYRAMPAŞA,41.045963999999997895429260097444057464599609375,28.903636999999999801502781338058412075042724609375
55,Paşa Psikoteknik Değerlendirme Merkezi,Sağlık,Psikoteknik Değerlendirme Merkezi,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:50 /1A YENİDOĞAN/BAYRAMPAŞA,41.038308999999998150087776593863964080810546875,28.91248699999999871579348109662532806396484375
56,Cihan Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Demirkapı Cad. No:32 B YENİDOĞAN/BAYRAMPAŞA,41.03670100000000076079231803305447101593017578125,28.90971700000000055297277867794036865234375
57,Diş Hekimi Fehime Dedeoğlu - Mehmet Dedeoğlu,Sağlık,Diş Hekimi,BAYRAMPAŞA,MURATPAŞA,İlhan Sk. No:1 MURATPAŞA/BAYRAMPAŞA,41.04520000000000123918653116561472415924072265625,28.907320999999999600049704895354807376861572265625
58,Diş Hekimi Tugay Hüseyin,Sağlık,Diş Hekimi,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:2 YENİDOĞAN/BAYRAMPAŞA,41.0353479999999990468495525419712066650390625,28.91296200000000027330315788276493549346923828125
59,Operatör Dr. Ebru Coşkun Kadın Hastalıkları ve Doğum Uzmanı,Sağlık,Doktor/Muayenehane,GAZİOSMANPAŞA,YENİ MAHALLE,Hacı Salih Efendi Cad. No:3 -7A YENİ MAHALLE/GAZİOSMANPAŞA,41.07378299999999882174961385317146778106689453125,28.902350999999999459078026120550930500030517578125
60,Dr. İsmet Buşat,Sağlık,Doktor/Muayenehane,BAYRAMPAŞA,YENİDOĞAN,Şafak Sk. No:48 -50 YENİDOĞAN/BAYRAMPAŞA,41.0379080000000016070771380327641963958740234375,28.911758999999999986130205797962844371795654296875
61,Diş Hekimi Nevin Özey,Sağlık,Diş Hekimi,BAYRAMPAŞA,ORTA,Abdi İpekçi Cad. No:19 ORTA/BAYRAMPAŞA,41.03428900000000112413545139133930206298828125,28.911863000000000312184056383557617664337158203125
62,Beşyıldız Psikoteknik,Sağlık,Psikoteknik Değerlendirme Merkezi,PENDİK,BAHÇELİEVLER,Adnan Menderes Bulvarı No:21 /1 BAHÇELİEVLER/PENDİK,40.8836950000000030058799893595278263092041015625,29.234880000000000421778167947195470333099365234375
63,Diş Hekimi Bülent Kaplan,Sağlık,Diş Hekimi,BAYRAMPAŞA,MURATPAŞA,Kamil Cad. No:3 -5 MURATPAŞA/BAYRAMPAŞA,41.045749999999998181010596454143524169921875,28.90542500000000103455022326670587062835693359375
64,İnan Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:87 E YENİDOĞAN/BAYRAMPAŞA,41.0391690000000011195879778824746608734130859375,28.912227000000001453372533433139324188232421875
65,Kalender Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,ORTA,Demirkapı Cad. No:15 ORTA/BAYRAMPAŞA,41.035359999999997171471477486193180084228515625,28.910503999999999535930328420363366603851318359375
66,World Medikal,Sağlık,Medikal,ZEYTİNBURNU,MALTEPE,Maltepe Kışla Cad. No:11 -15 MALTEPE/ZEYTİNBURNU,41.03149799999999913779902271926403045654296875,28.913340999999999070269041112624108791351318359375
67,Diş Hekimi Serdar Yalçın,Sağlık,Diş Hekimi,BAYRAMPAŞA,YENİDOĞAN,Atışalanı Cad. No:3 YENİDOĞAN/BAYRAMPAŞA,41.0384820000000019035724108107388019561767578125,28.912047999999998637576936744153499603271484375
68,Si-Set İşitme Cihazları,Sağlık,İşitme Cihazı Satış ve Uygulama Merkezi,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:64 A İSMET PAŞA/BAYRAMPAŞA,41.042337000000003399691195227205753326416015625,28.90437899999999871170075493864715099334716796875
69,Dentekip,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,Tuna Cad. No:37 -39B İSMET PAŞA/BAYRAMPAŞA,41.045119999999997162376530468463897705078125,28.90638799999999974943420966155827045440673828125
70,Erdem Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,ORTA,Demirkapı Cad. No:43 A ORTA/BAYRAMPAŞA,41.03680700000000314275894197635352611541748046875,28.909507000000001397665982949547469615936279296875
71,Gözlük Dünyası,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:3 A YENİDOĞAN/BAYRAMPAŞA,41.03559400000000323416315950453281402587890625,28.91345199999999948659024084918200969696044921875
72,Akademi Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:47 A YENİDOĞAN/BAYRAMPAŞA,41.036890999999997120539774186909198760986328125,28.91206199999999881811163504607975482940673828125
73,Elie Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,TERAZİDERE,60. Yıl Cad. No:24 B TERAZİDERE/BAYRAMPAŞA,41.03276100000000070622263592667877674102783203125,28.900724000000000302179614664055407047271728515625
74,Diş Hekimi Özcan Kılıç,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,Tuna Cad. No:43 İSMET PAŞA/BAYRAMPAŞA,41.045152000000001635271473787724971771240234375,28.90613400000000154932422447018325328826904296875
75,Bayrampaşa Ulubatlı Hasan Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,MURATPAŞA,Kamil Cad. No:90 -92A MURATPAŞA/BAYRAMPAŞA,41.04987299999999805777406436391174793243408203125,28.906772000000000133468347485177218914031982421875
76,Gökay Medikal,Sağlık,Medikal,BAĞCILAR,MAHMUTBEY,2437. Sk. No:101 MAHMUTBEY/BAĞCILAR,41.06491199999999963665686664171516895294189453125,28.820066000000000627778717898763716220855712890625
77,Diş Hekimi Nuri Taylan,Sağlık,Diş Hekimi,BAYRAMPAŞA,YENİDOĞAN,Yahya Kemal Cad. No:2 YENİDOĞAN/BAYRAMPAŞA,41.0390569999999996753103914670646190643310546875,28.907560000000000144382283906452357769012451171875
78,Else Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,İSMET PAŞA,Tuna Cad. No:47 A İSMET PAŞA/BAYRAMPAŞA,41.045174000000002934029907919466495513916015625,28.906000999999999834244590601883828639984130859375
79,Diş Hekimi Serpil Süral Çavdar,Sağlık,Diş Hekimi,BAYRAMPAŞA,ORTA,Özen Sk. No:22 ORTA/BAYRAMPAŞA,41.03631200000000234240360441617667675018310546875,28.909797000000001077069100574590265750885009765625
80,Aktif Medikal,Sağlık,Medikal,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:68 A İSMET PAŞA/BAYRAMPAŞA,41.0424330000000026075213099829852581024169921875,28.904014000000000095269570010714232921600341796875
81,Ercan Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:2 D YENİDOĞAN/BAYRAMPAŞA,41.0353870000000000572981662116944789886474609375,28.913060000000001537046045996248722076416015625
82,Gündem Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:87 F YENİDOĞAN/BAYRAMPAŞA,41.0392369999999999663486960344016551971435546875,28.912226000000000425416146754287183284759521484375
83,Diş Hekimi Muzaffer ve F. Arzu Erdoğral,Sağlık,Diş Hekimi,BAYRAMPAŞA,MURATPAŞA,Şehit Cihan Elkan Sk. No:1 MURATPAŞA/BAYRAMPAŞA,41.04469900000000137652023113332688808441162109375,28.909448000000001144371708505786955356597900390625
84,Terapi Veteriner,Sağlık,Veteriner,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:43 A İSMET PAŞA/BAYRAMPAŞA,41.041482999999999492501956410706043243408203125,28.9069429999999982783265295438468456268310546875
85,Diş Hekimi,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,Hisar Sk. No:19 A İSMET PAŞA/BAYRAMPAŞA,41.04273400000000293630364467389881610870361328125,28.9093170000000014852048479951918125152587890625
86,Göz Vakfı Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:87 H YENİDOĞAN/BAYRAMPAŞA,41.039209999999997080522007308900356292724609375,28.912227000000001453372533433139324188232421875
87,Özel Ertaş Diş Sağlığı Merkezi,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,YENİDOĞAN,Ulubatlı Sk. No:1 YENİDOĞAN/BAYRAMPAŞA,41.03652199999999794499672134406864643096923828125,28.912369000000001761918611009605228900909423828125
88,Özel Kaletürk Ağız ve Diş Sağlığı Merkezi,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:15 A İSMET PAŞA/BAYRAMPAŞA,41.04118100000000168847691384144127368927001953125,28.9081350000000014688339433632791042327880859375
89,Bay Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,İSMET PAŞA,Kenar Cad. No:75 -77D İSMET PAŞA/BAYRAMPAŞA,41.04213800000000134104993776418268680572509765625,28.90374800000000021782398107461631298065185546875
90,Bay Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:87 G YENİDOĞAN/BAYRAMPAŞA,41.03927300000000144564182846806943416595458984375,28.912226000000000425416146754287183284759521484375
91,Diş Hekimi Hakan Köse,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:77 A İSMET PAŞA/BAYRAMPAŞA,41.0422420000000016671037883497774600982666015625,28.9041059999999987439878168515861034393310546875
92,İpek Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,İSMET PAŞA,Kenar Cad. No:85 A İSMET PAŞA/BAYRAMPAŞA,41.04175699999999693545760237611830234527587890625,28.90357300000000151385393110103905200958251953125
93,Mavi Göz Optik,Sağlık,Gözlükçü/Optik,GAZİOSMANPAŞA,BAĞLARBAŞI,Bağlarbaşı Cad. No:3 BAĞLARBAŞI/GAZİOSMANPAŞA,41.0590600000000023328539100475609302520751953125,28.913510999999999739884515292942523956298828125
94,Diş Hekimi E. Safa Koçak,Sağlık,Diş Hekimi,BAYRAMPAŞA,YENİDOĞAN,Yahya Kemal Cad. No:8 A YENİDOĞAN/BAYRAMPAŞA,41.03924299999999902865965850651264190673828125,28.907312000000001006583261187188327312469482421875
95,Fark Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Atışalanı Cad. No:3 B YENİDOĞAN/BAYRAMPAŞA,41.038533000000001038642949424684047698974609375,28.912001000000000061618266045115888118743896484375
96,Dentamir Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,MURATPAŞA,Kamil Cad. No:128 A MURATPAŞA/BAYRAMPAŞA,41.0515979999999984784153639338910579681396484375,28.905702999999999036617737147025763988494873046875
97,Ferhat Medikal Ortopedi,Sağlık,Medikal,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:77 B İSMET PAŞA/BAYRAMPAŞA,41.04226299999999838519215700216591358184814453125,28.904022000000001213493305840529501438140869140625
98,Gündem Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:3 B YENİDOĞAN/BAYRAMPAŞA,41.0356129999999978963387547992169857025146484375,28.913548999999999722376742283813655376434326171875
99,Çınar Terkuran,Sağlık,Diş Hekimi,BAYRAMPAŞA,ORTA,Uygur Cad. No:29 A ORTA/BAYRAMPAŞA,41.037272999999999001374817453324794769287109375,28.90568700000000035288394428789615631103515625
100,Diş Hekimi Sevgi Güneş,Sağlık,Diş Hekimi,BAYRAMPAŞA,TERAZİDERE,Esenler Cad. No:127 TERAZİDERE/BAYRAMPAŞA,41.033220000000000027284841053187847137451171875,28.898078000000001708258423605002462863922119140625
101,Türk Kızılay Bayrampaşa,Sağlık,Kızılay/Kan Merkezi,BAYRAMPAŞA,YENİDOĞAN,Kiraz Sk. No:14 A YENİDOĞAN/BAYRAMPAŞA,41.03627300000000133195499074645340442657470703125,28.9110280000000017253114492632448673248291015625
102,Belkıs Şahin,Sağlık,Diş Hekimi,GAZİOSMANPAŞA,BAĞLARBAŞI,Bağlarbaşı Cad. No:41 BAĞLARBAŞI/GAZİOSMANPAŞA,41.06060599999999993769961292855441570281982421875,28.913661000000001166654328699223697185516357421875
103,Ecza Deposu,Sağlık,Ecza Deposu,BAYRAMPAŞA,YENİDOĞAN,Ahmet Yesevi Sk. No:8 -10A YENİDOĞAN/BAYRAMPAŞA,41.03784499999999724195731687359511852264404296875,28.9135160000000013269527698867022991180419921875
104,Soy - Vet,Sağlık,Veteriner,EYÜPSULTAN,İSLAMBEY,Balcı Yokuşu No:4 /1 İSLAMBEY/EYÜPSULTAN,41.04582599999999814599505043588578701019287109375,28.9343429999999983692759997211396694183349609375
105,Özel Bayrampaşa Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:55 A YENİDOĞAN/BAYRAMPAŞA,41.0373450000000019599610823206603527069091796875,28.912116999999998512294041574932634830474853515625
